"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 12 14:01:11 GMT 2022","Mon Dec 12 14:01:11 GMT 2022","5","","com.demoqa.tests.selenide.LabelsTests","","com.demoqa.tests.selenide.LabelsTests","testStaticLabels","Создание Issue для авторизованного пользователя",""
"broken","Mon Dec 12 14:01:11 GMT 2022","Mon Dec 12 14:01:11 GMT 2022","233","","com.demoqa.tests.selenide.SelenideTest","","com.demoqa.tests.selenide.SelenideTest","searchIssueTest","searchIssueTest()",""
"passed","Mon Dec 12 14:01:11 GMT 2022","Mon Dec 12 14:01:11 GMT 2022","6","","com.demoqa.tests.selenide.LabelsTests","","com.demoqa.tests.selenide.LabelsTests","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"broken","Mon Dec 12 14:01:11 GMT 2022","Mon Dec 12 14:01:11 GMT 2022","224","","com.demoqa.tests.selenide.SelenideLambdaTest","","com.demoqa.tests.selenide.SelenideLambdaTest","searchIssueTest","searchIssueTest()",""
"broken","Mon Dec 12 14:01:06 GMT 2022","Mon Dec 12 14:01:09 GMT 2022","3674","","com.demoqa.tests.AutomationPracticeFormTests","","com.demoqa.tests.AutomationPracticeFormTests","fillFormTest","fillFormTest()",""
"broken","Mon Dec 12 14:01:10 GMT 2022","Mon Dec 12 14:01:11 GMT 2022","201","","com.demoqa.tests.selenide.AttachmentTests","","com.demoqa.tests.selenide.AttachmentTests","testAnnotatedStep","testAnnotatedStep()",""
"broken","Mon Dec 12 14:01:10 GMT 2022","Mon Dec 12 14:01:10 GMT 2022","223","","com.demoqa.tests.BookStoreWebTests","","com.demoqa.tests.BookStoreWebTests","checkBookDetails","checkBookDetails(String, Map) Check details for {Publisher=O'Reilly Media, Sub Title=A JavaScript and jQuery Developer's Guide, ISBN=9781449331818, Total Pages=254, Title=Learning JavaScript Design Patterns, Author=Addy Osmani}.",""
"broken","Mon Dec 12 14:01:10 GMT 2022","Mon Dec 12 14:01:10 GMT 2022","324","","com.demoqa.tests.selenide.AttachmentTests","","com.demoqa.tests.selenide.AttachmentTests","searchIssueTest","searchIssueTest()",""
"broken","Mon Dec 12 14:01:11 GMT 2022","Mon Dec 12 14:01:11 GMT 2022","156","","com.demoqa.tests.selenide.SelenideLambdaTest","","com.demoqa.tests.selenide.SelenideLambdaTest","testAnnotatedStep","testAnnotatedStep()",""
"broken","Mon Dec 12 14:01:09 GMT 2022","Mon Dec 12 14:01:10 GMT 2022","311","","com.demoqa.tests.BookStoreWebTests","","com.demoqa.tests.BookStoreWebTests","checkBookDetails","checkBookDetails(String, Map) Check details for {Publisher=O'Reilly Media, Sub Title=A Working Introduction, ISBN=9781449325862, Total Pages=234, Title=Git Pocket Guide, Author=Richard E. Silverman}.",""
